TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,W_PCT,FGM_RANK,FG3M_RANK,PLUS_MINUS_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,PF_RANK,PTS_RANK,DivisionRank,HOME_WINS,ROAD_WINS,CurrentHomeStreak,CurrentRoadStreak,CurrentStreak,HighValueInjured
1610612737,ATL,Atlanta Hawks,0.488,6,14,18,14,2,26,2,12,22,5,2,21,19,2,2,3,0
1610612738,BOS,Boston Celtics,0.744,16,1,3,8,16,2,29,5,2,8,1,28,33,4,-1,2,1
1610612751,BKN,Brooklyn Nets,0.317,30,13,26,29,24,23,20,26,28,29,4,12,14,-2,-1,-3,0
1610612766,CHA,Charlotte Hornets,0.232,28,18,27,9,26,25,26,21,16,30,4,12,7,-3,-9,-7,1
1610612741,CHI,Chicago Bulls,0.476,8,3,20,3,5,20,24,18,6,6,5,18,21,4,1,3,0
1610612739,CLE,Cleveland Cavaliers,0.78,4,2,2,6,9,3,14,27,11,1,1,34,30,-1,1,-1,0
1610612742,DAL,Dallas Mavericks,0.476,13,26,19,23,22,13,21,7,8,15,3,22,17,1,-3,-1,0
1610612743,DEN,Denver Nuggets,0.61,1,28,9,4,1,17,17,15,6,3,2,26,24,1,2,3,0
1610612765,DET,Detroit Pistons,0.537,10,20,13,13,15,21,19,9,27,12,4,22,22,-1,-1,-2,0
1610612744,GSW,Golden State Warriors,0.585,21,4,10,7,4,14,4,17,23,17,3,24,24,-3,6,-1,0
1610612745,HOU,Houston Rockets,0.634,11,22,7,1,28,11,10,13,20,13,1,29,23,-1,-2,-3,1
1610612754,IND,Indiana Pacers,0.61,5,16,12,28,3,3,9,6,15,7,2,29,20,-1,2,1,0
1610612746,LAC,LA Clippers,0.61,17,25,6,17,23,22,3,20,14,20,2,30,20,5,3,8,0
1610612747,LAL,Los Angeles Lakers,0.61,20,15,14,26,18,12,22,22,5,19,1,31,19,2,-1,-1,0
1610612763,MEM,Memphis Grizzlies,0.585,2,11,5,2,8,28,7,3,29,2,2,26,22,1,-1,1,0
1610612748,MIA,Miami Heat,0.451,24,12,15,21,14,8,15,30,1,24,3,19,17,-1,1,-1,0
1610612749,MIL,Milwaukee Bucks,0.585,12,8,11,22,21,7,27,19,9,11,3,27,20,4,4,8,0
1610612750,MIN,Minnesota Timberwolves,0.598,19,5,4,15,17,18,18,14,12,13,3,25,24,5,1,3,0
1610612740,NOP,New Orleans Pelicans,0.256,22,27,29,20,19,19,8,10,13,25,5,14,7,-3,-6,-7,0
1610612752,NYK,New York Knicks,0.622,7,24,8,24,11,5,13,29,4,9,2,27,24,-2,1,1,0
1610612760,OKC,Oklahoma City Thunder,0.829,3,6,1,11,12,1,1,2,25,4,1,35,32,1,3,4,1
1610612753,ORL,Orlando Magic,0.5,29,30,17,27,30,16,6,1,26,28,1,22,19,2,-1,-1,0
1610612755,PHI,Philadelphia 76ers,0.293,26,21,25,30,29,9,5,23,19,26,5,12,12,-8,1,-2,0
1610612756,PHX,Phoenix Suns,0.439,18,7,23,25,10,15,28,16,10,18,5,24,12,1,-8,-1,1
1610612757,POR,Portland Trail Blazers,0.439,23,19,22,12,27,29,11,8,21,22,4,22,14,1,-2,1,0
1610612758,SAC,Sacramento Kings,0.488,9,23,16,16,13,6,25,25,17,10,4,20,20,1,3,1,0
1610612759,SAS,San Antonio Spurs,0.415,14,9,21,19,6,10,12,4,3,16,4,20,13,1,-1,1,1
1610612761,TOR,Toronto Raptors,0.366,15,29,24,10,7,24,16,28,30,23,3,18,12,1,-2,-2,0
1610612762,UTA,Utah Jazz,0.207,25,10,28,5,20,30,30,24,18,21,5,10,7,-1,-21,-2,0
1610612764,WAS,Washington Wizards,0.22,27,17,30,18,25,27,23,11,24,27,5,8,10,-2,1,1,0
